source_name,organization,year,url,license,date_added
Canine Vaccination Guidelines,American Animal Hospital Association,2022,https://www.aaha.org/resources/2022-aaha-canine-vaccination-guidelines/,"© AAHA, educational use",2025-11-06
Feline Vaccination Guidelines,American Animal Hospital Association,2020,https://www.aaha.org/resources/2020-aahaaafp-feline-vaccination-guidelines/,"© AAHA, educational use",2025-11-06
